               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.085201,             0.16064,            0.032876,            0.058329,             0.34138,            0.063603,            0.015514,            0.076598,              0.1124,            0.034029,           0.0084556,           0.0084556,           0.0084556
                  80,            0.087492,             0.17463,            0.033199,            0.041375,             0.19009,             0.07013,            0.016541,            0.074795,              0.1117,            0.033757,           0.0084358,           0.0084358,           0.0084358
                  81,            0.085668,             0.15699,            0.033448,             0.10996,             0.23452,            0.062066,            0.016147,            0.074491,             0.11337,            0.033671,            0.008416,            0.008416,            0.008416
                  82,            0.084807,             0.16835,            0.036353,            0.040816,             0.20571,            0.062533,            0.014972,            0.074156,             0.11324,            0.034035,           0.0083962,           0.0083962,           0.0083962
                  83,            0.083131,             0.16954,            0.035838,              0.0633,             0.20562,            0.056113,            0.013543,            0.074434,             0.11287,            0.033875,           0.0083764,           0.0083764,           0.0083764
                  84,            0.084957,             0.16986,            0.033284,            0.062759,             0.18407,            0.056697,            0.013177,            0.075027,              0.1122,            0.033647,           0.0083566,           0.0083566,           0.0083566
                  85,            0.086216,             0.16759,             0.03219,            0.073518,              0.2421,            0.070301,            0.015981,            0.077889,             0.11165,            0.032757,           0.0083368,           0.0083368,           0.0083368
                  86,            0.081944,             0.15104,            0.033039,            0.031843,             0.22146,            0.050848,            0.012083,            0.078166,             0.11918,            0.032516,            0.008317,            0.008317,            0.008317
                  87,              0.0849,             0.17734,            0.033368,             0.82435,            0.063953,            0.067785,            0.017448,            0.075335,              0.1168,            0.032263,           0.0082972,           0.0082972,           0.0082972
                  88,             0.08384,             0.16886,             0.03508,              0.3227,             0.17191,            0.079316,            0.019866,            0.075236,             0.11282,            0.033584,           0.0082774,           0.0082774,           0.0082774
                  89,            0.080811,             0.16414,              0.0332,             0.05453,             0.23034,             0.10451,            0.024607,            0.071041,             0.11373,            0.033235,           0.0082576,           0.0082576,           0.0082576
                  90,            0.081992,             0.17298,            0.031288,            0.059518,             0.37734,            0.095672,            0.021348,             0.07183,             0.11957,            0.030914,           0.0082378,           0.0082378,           0.0082378
                  91,            0.080707,             0.16611,            0.033035,             0.54418,             0.20554,            0.086057,            0.020603,            0.076383,             0.11828,            0.031187,            0.008218,            0.008218,            0.008218
